Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196,+204,+238,+218,+170,+244,+148,+195,+381,+386,+239,+248,+242,+146,+184,+191,+288,+176,+338,+216,+226,+276,+339,+245,+265,+313,+229,+276,+389,+182,+387,+553,+307,+416,+241,+347,+350,+328,+389,+253,+315,+663,+409,+681,+627,+501,+403,+573,+490,+587,+745,+667,+661,+436,+675
Réunion,+3,+8,+5,+1,0,+2,0,+2,0,+5,0,+1,0,+2,0,+2,+1,0,+1,0,+1,+2,0,+5,+5,0,+1,+2,+1,+1,+2,0,+3,0,+1,+2,0,+3,0,+4,+3,+1,+5,+5,+1,0,+2,+4,+1,+1,+1,0,0,+1,0,+5,+1,+1,+1,+6,+1,0,+2,+5,+2,+1,+1,+1
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57,+65,+87,+59,+51,+91,+91,+67,+89,+58,+104,+59,+59,+83,+75,+177,+109,+110,+84,+121,+119,+51,+64,+73,+97,+98,+97,+67,+71,+83,+31,+92,+95,+81,+106,+110,+94,+97,+96,+89,+134,+94,+79,+99,+89,+124,+119,+92,+145,+94,+83,+74,+122,+106,+164,+144,+105,+82
Mauritius,0,0,+1,+3,0,0,+1,+2,0,0,+1,+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,0,0,0,0,+1,0,0,0,0,0,0,+2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17,+22,+26,+17,+12,+20,+81,+32,+70,0,+8,+23,+92,+66,0,+74,+54,+33,+78,+67,+73,+56,+157,0,+83,+91,+102,+104,+110,+80,+116,+156,+106,+143,+114,+173,+133,+104,+125,+131,+169,+149,+120,+114,+138,+90,+153,+131,+125,+122,+87,+54,+59,+137,+126,+183,+194,+195,+154,+98
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12,+8,+11,+10,+12,+15,+24,+30,+25,+45,+47,+25,+14,+28,+23,+28,+15,+22,+21,+23,+49,+57,+25,+51,+66,+80,+52,+31,+22,+72,+62,+123,+147,+127,+143,+74,+59,+72,+123,+124,+134,+126,+167,+95,+127,+105,+121,+90,+152,+137,+133,+133,+184,+213,+117,+104,+260,+59
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26,+21,0,+59,0,+79,0,0,+54,+36,+53,0,+115,0,+134,+35,0,+72,+48,+67,0,+102,+30,+28,0,+105,0,+46,0,+66,+22,+25,+11,+25,+29,0,0,+235,+52,+7,+65,+21,0,0,+72,+24,+51,+14,+28,+14,+16,+12,+23,+12,+38,+11,+10,0,+30
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19,+19,+16,+58,+8,+18,+36,+19,+17,+32,+19,+19,+18,+24,+12,+8,+18,+28,+21,+27,+29,+25,+14,+27,+30,+16,+22,+46,+15,+29,+18,+39,+78,+32,+24,+15,+50,+36,+35,+75,+24,+38,+10,+14,+39,+81,+55,+30,+24,+33,+51,+25,+5,+16,+17,0,+10,+28
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8,+16,+5,+13,+18,+6,+6,+4,+2,0,+7,+3,+2,+7,+4,+1,+1,+1,0,0,+2,+3,+5,+11,+6,+6,+1,+4,+2,+9,+3,+7,+3,+6,+4,+11,+7,+7,+13,+13,+10,+11,+8,+12,+12,+13,+18,+16,+31,+41,+30,+24,+3,+7,+15,+41,+26,+59
Congo,0,+26,0,0,+17,+5,+21,0,+14,0,0,+7,0,0,+13,+9,0,0,+7,0,+28,0,+10,0,0,+59,0,0,+58,0,0,0,+21,+8,0,+49,0,+18,0,0,0,+84,0,0,0,+40,0,0,0,0,+24,+48,0,0,+45,0,0,0,0,0,+155,0,0,0,0,0,0,+204
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1,+4,0,0,0,+4,+3,+14,0,+2,+7,+35,0,0,0,0,0,+26,+18,+8,+45,+21,+18,+4,+45,+34,+43,+40,+39,+15,+44,+26,+44,+42,+60,+13,+55,+19,+63,+49,+18,+51,+26,+42,+44,+24,+41,+27,+22,+20,+18,+27,+61,+25,+40,+60,+93,+44
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5,+1,+1,+2,+4,+1,+2,0,+2,+5,+5,+17,+29,+3,+16,+29,+11,+11,+2,+9,+15,+19,+11,+35,+13,+24,+10,+34,+61,+88,+73,+46,+30,+100,+137,+95,+109,+85,+87,+142,+150,+169,+129,+86,+136,+180,+170,+164,+245,+251,+179,+176,+109,+129,+195,+116,+399,+63,+131
Somalia,0,+36,+19,+29,+73,+49,0,+42,0,+62,+46,+44,+48,+54,+19,0,+70,+51,+34,+79,+38,+55,0,+69,+57,+35,+81,+49,+65,0,+73,+64,+34,+47,+71,+21,0,0,0,+95,+22,+20,+97,0,+88,+60,+47,+66,+57,+58,0,+85,+45,+34,+48,+36,+61,0,+66,+39,+24,+16,+38,+23,0,+36,+24,+33
Gabon,0,+28,0,+1,+11,+36,+10,+1,+5,+4,0,+35,+27,+38,0,0,+59,0,+32,+30,0,+107,+116,+41,0,+141,+61,+141,+100,+105,+111,0,+112,+70,+65,0,+161,+206,0,+201,+103,+81,+112,+182,+42,0,0,+148,+99,+53,+146,0,0,0,+146,+47,+169,0,0,0,+570,+81,+115,+111,+88,0,0,+311
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4,0,+17,0,0,+11,+2,+4,+8,+4,+8,+11,+10,0,0,+12,0,+2,+2,+4,+4,+3,+3,+4,+5,+2,+9,+6,+10,0,+1,0,+3,+4,+7,+8,+8,+15,+5,+5,+13,+11,+14,+11,+13,+14,+13,+11,+25,+12,+40,+11,+7,+26,+39,+20,+25,+24
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2,+16,+3,+5,0,+8,+1,+30,+13,+10,+11,+5,+27,+12,+6,+10,+14,+7,+22,+26,+11,+2,0,0,+7,+14,+7,+6,+9,+9,+10,0,0,0,+15,+16,+14,+23,+8,+11,+25,+34,+6,+12,+13,+18,+30,+42,+40,+29,+24,+10,+21,+11,+31,+25,+15,+27,+54
Uganda,0,0,0,0,+1,+5,+2,+11,+1,0,+4,0,0,+2,+2,+2,+3,+1,+8,+1,+2,+1,0,+15,+5,0,+5,+13,+21,+43,+24,0,+21,+12,+4,0,+15,+23,0,+24,+31,+28,+36,+12,+84,+4,+40,+32,+18,+15,+35,+36,+23,+30,+11,+8,+14,+7,+8,+2,+9,+19,+8,+9,+14,+8,+7,+4
Libya,+1,0,0,+2,0,+8,+1,0,+1,0,0,0,0,0,0,+2,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,+1,0,0,+3,+1,+2,+1,+3,0,0,+2,+22,+6,+13,+12,+26,+12,+14,+14,+13,+30,+17,0,+76,+27,+19,+15,+16,+9,+36,+13,+17,+16,+10,+10,+24,+27,+24
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2,0,+1,+20,0,+132,0,+52,0,0,+156,0,+62,+89,+30,+47,+85,+35,+59,+16,+77,0,+56,+21,+42,+6,+51,+20,+5,0,0,+64,0,+17,0,+61,0,0,+83,0,0,0,+29,0,0,+21,0,0,0,+71,0,0,+32,0,0,0,+49,0,0,+15
Benin,0,0,0,0,+19,0,0,0,0,0,+10,0,0,0,0,+26,0,0,+6,0,0,+44,+102,+42,+35,0,+8,0,+12,0,0,0,0,0,0,+5,0,0,+56,0,+17,+2,0,+14,0,+8,+11,+1,0,+17,0,0,0,+27,+17,0,0,+83,+24,+30,+41,+49,+40,+25,+53,0,+115,+42
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39,+24,+38,+43,+57,+67,0,+150,0,+86,+100,+74,+78,+181,+53,+201,+161,+135,+157,0,+146,+325,0,+302,+137,0,+410,+240,0,+250,+192,+156,+170,+200,+175,+279,+226,+147,+137,+189,+215,+151,+216,0,+161,+185,+155,0,+297,+128,+213,+215,+305,+280,0,+296,+100,+164,+118
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19,+5,+6,0,0,0,0,+3,0,+1,0,+1,0,0,+1,+5,+4,+12,+1,0,+11,+4,+10,+8,+8,+1,+10,+6,+2,+4,+26,+15,+4,+14,+6,+1,+10,+10,0,+53,+9,+36,+2,+55,+15,+9,+20,+19,+17,+20,+44,+30,+26,+29,+13,+11,+6,+20,+45,+4
Zimbabwe,0,+1,+1,0,0,+3,0,0,+1,+2,0,0,+1,0,+8,0,0,0,0,0,0,0,0,+1,+1,0,0,+1,0,+5,0,+2,+2,0,+2,+3,0,+5,0,0,0,+76,+17,0,+25,+4,+25,+3,+16,+15,+28,+14,+3,+5,+27,+6,+12,+11,+13,+27,+4,+4,+10,+62,+16,0,+10,+23
Angola,0,0,+5,0,0,0,+1,0,0,0,+1,+1,0,0,0,+3,+5,0,0,+1,0,0,+7,0,0,+2,0,0,+3,0,0,0,+2,+2,0,+6,+2,+1,+8,+1,0,+1,+3,+7,+3,+2,0,0,0,0,0,+2,+3,+1,+4,+17,+5,+12,+8,+2,+2,+6,+7,+11,+6,+4,+7,+3
Malawi,0,+1,0,0,0,+1,+5,+10,0,0,+1,+2,0,0,+1,0,+1,+1,+2,0,+2,0,0,+13,0,+1,0,+6,0,0,+2,+5,0,0,+1,+1,+10,0,+1,+18,0,0,+102,+70,+6,+5,+52,+22,+11,+24,+16,0,+29,+5,+12,0,+26,0,+48,+18,+8,+9,+8,+20,+28,0,+110,+19
Eswatini,+1,0,+6,0,+2,+7,0,0,+5,+20,+3,+6,+6,+20,+9,+6,+2,+4,+4,+3,+4,+30,+6,+4,+9,+3,+9,+3,0,+3,+12,+1,+2,+3,+9,+3,+5,+13,+12,+6,+5,+11,+7,0,+4,+2,+8,+1,+1,+5,+5,+17,+11,+7,+31,+27,+51,+23,+14,+4,+16,+14,+43,+23,+37,+4,+8,+8
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,+1,+1,+1,0,0,+1,0,+1,0,+1,+1,0,0,0,0,+4,0,+2,0,0,0,0,+1,0,0,+2,+2,+3,+6,+1,+9,+8
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18,0,+11,+6,+5,0,+20,+12,+19,+11,+12,+21,+26,+6,+26,+34,+16,+31,0,+49,+21,+39,+15,+43,+14,+15,+36,+15,+21,+15,+86,+28,+19,+28,+30,+17,+23,+9,+4,+31,+13,+5,+15,+17,+23,+32,+24,+37,+23,+18,+29,+37,+7,+49,+24,+23,+26,+11,+18,+13
CAR,0,0,0,0,0,+2,0,0,0,0,+3,+9,0,0,0,+22,0,0,+13,0,+9,0,+49,0,0,0,0,0,0,+158,+26,0,0,+39,+52,+18,+43,+73,+52,+48,+19,+31,+53,+119,+88,+49,+58,0,+104,+115,+163,+119,+64,+216,0,+38,+64,+92,+13,0,+165,+188,+154,+41,0,+81,+122,+155
Gambia,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,+1,+1,+5,0,0,0,0,+1,+2,0,0,+2,0,+1,0,0,0,0,+1,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,+2,0,0,0,0,0,0,+2,+4,0,+2,0,0,+1,+4
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,0,0,+1,+6,+5,+9,+11,+22,+19,+50,+10,+32,+27,+27,+10,+25,+6,+24,+54,+77,+60,+47,+58,+80,+77,+39,+99,+64,+102,+55,+58,+121,+156,+133,+110,+101,+104,+170,+166,+201,+197,+192,+171,+137
Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+1
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,+4,0,+6,+2,0,0,+7,+151,0,+13,+21,0,0,0,0,+12,+15,0,0,0,+11,+5,0,0,0,0,0,+48,+142,+2,+15,+5,+16,+4,+1,0,0,+1,+14,0,+14,0,+1,+97,+21,+7,+20,+2,+1,+9,+12,+5,+5,0,+5,+4
South Sudan,0,0,0,0,0,0,0,0,+1,0,+1,0,+28,0,+1,+10,0,+1,0,+6,+6,+16,+46,0,0,+36,+38,+9,0,+33,0,+54,0,0,0,+191,+82,+92,0,+151,0,+188,0,0,0,0,0,0,0,0,0,0,+323,+287,0,0,+66,0,+23,0,0,+83,+37,+17,+34,+18,+10,+24
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+8
